times 	 signal 	 freqs 	 dft
0.0000000000	0.2825344741	0.0000000000	1138.5287196779
1.0000000000	0.2855344741	0.0000231481	1224.5992870958
2.0000000000	0.2785344741	0.0000462963	483.8379038613
3.0000000000	0.2775344741	0.0000694444	285.5398163599
4.0000000000	0.2765344741	0.0000925926	223.2892945730
5.0000000000	0.2795344741	0.0001157407	347.6542445516
6.0000000000	0.2785344741	0.0001388889	265.2320067873
7.0000000000	0.2875344741	0.0001620370	126.1521935051
8.0000000000	0.2905344741	0.0001851852	74.1317913874
9.0000000000	0.2909094741	0.0002083333	107.1335684318
10.0000000000	0.2912844741	0.0002314815	138.4888401086
11.0000000000	0.2916594741	0.0002546296	136.8449959226
12.0000000000	0.2920344741	0.0002777778	58.0658174884
13.0000000000	0.2924094741	0.0003009259	97.8875703736
14.0000000000	0.2927844741	0.0003240741	79.7733190297
15.0000000000	0.2931594741	0.0003472222	77.4782249472
16.0000000000	0.2935344741	0.0003703704	84.4515965351
17.0000000000	0.2935344741	0.0003935185	87.0471699500
18.0000000000	0.2955344741	0.0004166667	18.9979196542
19.0000000000	0.2925344741	0.0004398148	54.4245719398
20.0000000000	0.2975344741	0.0004629630	65.2090666037
21.0000000000	0.3035344741	0.0004861111	56.9869533226
22.0000000000	0.3095344741	0.0005092593	80.7965494783
23.0000000000	0.2965344741	0.0005324074	42.1314948538
24.0000000000	0.2875344741	0.0005555556	42.6972556042
25.0000000000	0.3005344741	0.0005787037	102.5721787410
26.0000000000	0.2975344741	0.0006018519	163.0477086679
27.0000000000	0.2845344741	0.0006250000	277.0105124638
28.0000000000	0.2715344741	0.0006481481	2095.5684518719
29.0000000000	0.2815344741	0.0006712963	449.2966106293
30.0000000000	0.2865344741	0.0006944444	4205.5417623142
31.0000000000	0.2965344741	0.0007175926	217.1113204269
32.0000000000	0.2855344741	0.0007407407	333.0426510684
33.0000000000	0.2860344741	0.0007638889	69.6843839729
34.0000000000	0.2865344741	0.0007870370	20.1690144831
35.0000000000	0.2995344741	0.0008101852	89.1605888912
36.0000000000	0.2895344741	0.0008333333	49.5190455436
37.0000000000	0.2985344741	0.0008564815	61.2524140152
38.0000000000	0.3015344741	0.0008796296	32.2952745386
39.0000000000	0.2999094741	0.0009027778	29.2056811415
40.0000000000	0.2982844741	0.0009259259	67.2921823149
41.0000000000	0.2966594741	0.0009490741	42.1941075590
42.0000000000	0.2950344741	0.0009722222	46.6654274980
43.0000000000	0.2934094741	0.0009953704	30.4539198567
44.0000000000	0.2917844741	0.0010185185	49.3986457844
45.0000000000	0.2901594741	0.0010416667	35.9659443934
46.0000000000	0.2885344741	0.0010648148	68.6109958293
47.0000000000	0.2905344741	0.0010879630	9.0336083502
48.0000000000	0.2925344741	0.0011111111	26.3791879159
49.0000000000	0.2925344741	0.0011342593	22.4469731714
50.0000000000	0.2915344741	0.0011574074	67.6157412038
51.0000000000	0.2930344741	0.0011805556	26.3752318639
52.0000000000	0.2945344741	0.0012037037	39.8574923993
53.0000000000	0.2825344741	0.0012268519	52.2331474798
54.0000000000	0.2895344741	0.0012500000	92.5881255046
55.0000000000	0.2885344741	0.0012731481	98.2107019123
56.0000000000	0.2905344741	0.0012962963	221.0364974527
57.0000000000	0.2920344741	0.0013194444	563.8452532964
58.0000000000	0.2935344741	0.0013425926	3606.9676546485
59.0000000000	0.2985344741	0.0013657407	156.1778492570
60.0000000000	0.2965344741	0.0013888889	932.9715267387
61.0000000000	0.2925344741	0.0014120370	178.8486694388
62.0000000000	0.2985344741	0.0014351852	161.7632402759
63.0000000000	0.2910344741	0.0014583333	57.0386837658
64.0000000000	0.2835344741	0.0014814815	63.3278180751
65.0000000000	0.2845344741	0.0015046296	40.7015773346
66.0000000000	0.2855344741	0.0015277778	19.6163180754
67.0000000000	0.2835344741	0.0015509259	65.8013324120
68.0000000000	0.2865344741	0.0015740741	46.4826787166
69.0000000000	0.2840344741	0.0015972222	31.1627021610
70.0000000000	0.2815344741	0.0016203704	11.9546606683
71.0000000000	0.2785344741	0.0016435185	29.2639933504
72.0000000000	0.2785344741	0.0016666667	20.2438979927
73.0000000000	0.2755344741	0.0016898148	30.6617862726
74.0000000000	0.2795344741	0.0017129630	48.2048635480
75.0000000000	0.2750344741	0.0017361111	14.0561260642
76.0000000000	0.2705344741	0.0017592593	15.3681152118
77.0000000000	0.2725344741	0.0017824074	8.5512163766
78.0000000000	0.2685344741	0.0018055556	29.0445381338
79.0000000000	0.2705344741	0.0018287037	48.3406873640
80.0000000000	0.2645344741	0.0018518519	56.2249883574
81.0000000000	0.2690344741	0.0018750000	20.0404895789
82.0000000000	0.2735344741	0.0018981481	17.1281106485
83.0000000000	0.2695344741	0.0019212963	9.1198158834
84.0000000000	0.2715344741	0.0019444444	50.7385389139
85.0000000000	0.2725344741	0.0019675926	27.4062539440
86.0000000000	0.2655344741	0.0019907407	48.5758882148
87.0000000000	0.2615344741	0.0020138889	4.4405484185
88.0000000000	0.2575344741	0.0020370370	98.1558571443
89.0000000000	0.2565344741	0.0020601852	35.6158051852
90.0000000000	0.2515344741	0.0020833333	127.8354078915
91.0000000000	0.2505344741	0.0021064815	34.6805881823
92.0000000000	0.2475344741	0.0021296296	35.9451626613
93.0000000000	0.2505344741	0.0021527778	8.9886181386
94.0000000000	0.2535344741	0.0021759259	30.2680964048
95.0000000000	0.2485344741	0.0021990741	37.8499547136
96.0000000000	0.2445344741	0.0022222222	7.3053895170
97.0000000000	0.2465344741	0.0022453704	18.5600242322
98.0000000000	0.2405344741	0.0022685185	27.8898182928
99.0000000000	0.2360344741	0.0022916667	8.4128664505
100.0000000000	0.2315344741	0.0023148148	22.4465234409
101.0000000000	0.2335344741	0.0023379630	15.7045948235
102.0000000000	0.2315344741	0.0023611111	15.1532578555
103.0000000000	0.2285344741	0.0023842593	7.9255136384
104.0000000000	0.2285344741	0.0024074074	8.6501335853
105.0000000000	0.2270344741	0.0024305556	12.3300844472
106.0000000000	0.2255344741	0.0024537037	13.4450114904
107.0000000000	0.2265344741	0.0024768519	22.8358150251
108.0000000000	0.2275344741	0.0025000000	9.9581346207
109.0000000000	0.2195344741	0.0025231481	25.6767311396
110.0000000000	0.2165344741	0.0025462963	24.9649749179
111.0000000000	0.2235344741	0.0025694444	6.4611362802
112.0000000000	0.2305344741	0.0025925926	22.8759250565
113.0000000000	0.2255344741	0.0026157407	15.3374822587
114.0000000000	0.2275344741	0.0026388889	40.6621287702
115.0000000000	0.2215344741	0.0026620370	53.8276180121
116.0000000000	0.2175344741	0.0026851852	44.8896048132
117.0000000000	0.2165344741	0.0027083333	79.8286815499
118.0000000000	0.2155344741	0.0027314815	35.9634804264
119.0000000000	0.2085344741	0.0027546296	30.0278723582
120.0000000000	0.2005344741	0.0027777778	21.1213464617
121.0000000000	0.2025344741	0.0028009259	18.7146501378
122.0000000000	0.2075344741	0.0028240741	13.3450727595
123.0000000000	0.2060344741	0.0028472222	12.1074524490
124.0000000000	0.2045344741	0.0028703704	22.5642414973
125.0000000000	0.1995344741	0.0028935185	27.3387436955
126.0000000000	0.1965344741	0.0029166667	30.2743886232
127.0000000000	0.1965344741	0.0029398148	33.3799180388
128.0000000000	0.1955344741	0.0029629630	25.2544234688
129.0000000000	0.1890344741	0.0029861111	8.2897706456
130.0000000000	0.1825344741	0.0030092593	29.3228185490
131.0000000000	0.1795344741	0.0030324074	23.2462524775
132.0000000000	0.1765344741	0.0030555556	25.9808520144
133.0000000000	0.1775344741	0.0030787037	20.0037249740
134.0000000000	0.1815344741	0.0031018519	24.6644390012
135.0000000000	0.1815344741	0.0031250000	11.7314568193
136.0000000000	0.1815344741	0.0031481481	23.6747373155
137.0000000000	0.1785344741	0.0031712963	20.5705393908
138.0000000000	0.1805344741	0.0031944444	22.7178664568
139.0000000000	0.1835344741	0.0032175926	2.8633716093
140.0000000000	0.1795344741	0.0032407407	21.4549642572
141.0000000000	0.1779844741	0.0032638889	18.4184849199
142.0000000000	0.1764344741	0.0032870370	15.4740391958
143.0000000000	0.1748844741	0.0033101852	25.4044677459
144.0000000000	0.1733344741	0.0033333333	45.0814447707
145.0000000000	0.1717844741	0.0033564815	49.0575241769
146.0000000000	0.1702344741	0.0033796296	40.1805209219
147.0000000000	0.1686844741	0.0034027778	40.4126858270
148.0000000000	0.1671344741	0.0034259259	11.7678403010
149.0000000000	0.1655844741	0.0034490741	7.7291665298
150.0000000000	0.1640344741	0.0034722222	24.6868919089
151.0000000000	0.1624844741	0.0034953704	26.8671657329
152.0000000000	0.1609344741	0.0035185185	20.6774996193
153.0000000000	0.1593844741	0.0035416667	20.5129237838
154.0000000000	0.1578344741	0.0035648148	19.5783037834
155.0000000000	0.1562844741	0.0035879630	35.5456262969
156.0000000000	0.1547344741	0.0036111111	10.5168180209
157.0000000000	0.1531844741	0.0036342593	8.0863433523
158.0000000000	0.1516344741	0.0036574074	14.0849522830
159.0000000000	0.1500844741	0.0036805556	5.4314806439
160.0000000000	0.1485344741	0.0037037037	5.6978304523
161.0000000000	0.1455344741	0.0037268519	14.5410209009
162.0000000000	0.1385344741	0.0037500000	5.9330539890
163.0000000000	0.1325344741	0.0037731481	6.4218648321
164.0000000000	0.1355344741	0.0037962963	22.1365206079
165.0000000000	0.1315344741	0.0038194444	15.0743595616
166.0000000000	0.1275344741	0.0038425926	21.6013258099
167.0000000000	0.1245344741	0.0038657407	9.8582556659
168.0000000000	0.1295344741	0.0038888889	18.0157731362
169.0000000000	0.1285344741	0.0039120370	11.6533093623
170.0000000000	0.1345344741	0.0039351852	28.7213876676
171.0000000000	0.1350344741	0.0039583333	7.3517514202
172.0000000000	0.1355344741	0.0039814815	6.5775638538
173.0000000000	0.1285344741	0.0040046296	11.1060232125
174.0000000000	0.1285344741	0.0040277778	36.7846013317
175.0000000000	0.1195344741	0.0040509259	22.0766887170
176.0000000000	0.1125344741	0.0040740741	12.7503255463
177.0000000000	0.1065344741	0.0040972222	28.3713054800
178.0000000000	0.1005344741	0.0041203704	3.6018243312
179.0000000000	0.1005344741	0.0041435185	2.4062914367
