times 	 signal 	 freqs 	 dft
0.0000000000	-0.0810591858	0.0000000000	10.2826713981
1.0000000000	-0.0680591858	0.0000231481	694.5021507509
2.0000000000	-0.0670591858	0.0000462963	345.5293264339
3.0000000000	-0.0570591858	0.0000694444	365.9016068481
4.0000000000	-0.0580591858	0.0000925926	696.5326529095
5.0000000000	-0.0570591858	0.0001157407	632.8135862157
6.0000000000	-0.0570591858	0.0001388889	216.7732556359
7.0000000000	-0.0570591858	0.0001620370	753.0979478287
8.0000000000	-0.0560591858	0.0001851852	828.8467439135
9.0000000000	-0.0580591858	0.0002083333	440.0580327385
10.0000000000	-0.0540591858	0.0002314815	254.1723379659
11.0000000000	-0.0570591858	0.0002546296	402.2265564873
12.0000000000	-0.0420591858	0.0002777778	263.1507294333
13.0000000000	-0.0460591858	0.0003009259	757.5424849860
14.0000000000	-0.0390591858	0.0003240741	340.2051176368
15.0000000000	-0.0400591858	0.0003472222	369.3348667441
16.0000000000	-0.0440591858	0.0003703704	186.3045082845
17.0000000000	-0.0390591858	0.0003935185	128.0440892099
18.0000000000	-0.0340591858	0.0004166667	155.2972086750
19.0000000000	-0.0270591858	0.0004398148	589.0325633351
20.0000000000	-0.0120591858	0.0004629630	494.4350492338
21.0000000000	-0.0050591858	0.0004861111	101.6168485249
22.0000000000	-0.0120591858	0.0005092593	277.1521598052
23.0000000000	-0.0070591858	0.0005324074	248.6245589035
24.0000000000	0.0029408142	0.0005555556	270.5613486609
25.0000000000	0.0029408142	0.0005787037	262.1396347531
26.0000000000	0.0129408142	0.0006018519	236.0649240704
27.0000000000	0.0199408142	0.0006250000	118.3003352576
28.0000000000	0.0269408142	0.0006481481	464.2103008488
29.0000000000	0.0149408142	0.0006712963	259.0241875002
30.0000000000	0.0169408142	0.0006944444	2107.6245007018
31.0000000000	0.0349408142	0.0007175926	150.2958526233
32.0000000000	0.0249408142	0.0007407407	167.2624733498
33.0000000000	0.0289408142	0.0007638889	79.3962423461
34.0000000000	0.0369408142	0.0007870370	75.1121710895
35.0000000000	0.0349408142	0.0008101852	150.7428171505
36.0000000000	0.0429408142	0.0008333333	32.2061736230
37.0000000000	0.0469408142	0.0008564815	55.1919431600
38.0000000000	0.0469408142	0.0008796296	52.7687516344
39.0000000000	0.0429408142	0.0009027778	19.0053215088
40.0000000000	0.0469408142	0.0009259259	59.5763714228
41.0000000000	0.0639408142	0.0009490741	50.1551898550
42.0000000000	0.0489408142	0.0009722222	34.7870590593
43.0000000000	0.0599408142	0.0009953704	41.9374670445
44.0000000000	0.0589408142	0.0010185185	30.5014172036
45.0000000000	0.0529408142	0.0010416667	58.4004888203
46.0000000000	0.0589408142	0.0010648148	47.0214133100
47.0000000000	0.0569408142	0.0010879630	29.6034626588
48.0000000000	0.0619408142	0.0011111111	16.8283696162
49.0000000000	0.0739408142	0.0011342593	27.4147244724
50.0000000000	0.0689408142	0.0011574074	39.7044521814
51.0000000000	0.0819408142	0.0011805556	40.9632398634
52.0000000000	0.0809408142	0.0012037037	33.2220136807
53.0000000000	0.0869408142	0.0012268519	40.6375425001
54.0000000000	0.0929408142	0.0012500000	77.9897169354
55.0000000000	0.1029408142	0.0012731481	94.8340329883
56.0000000000	0.1059408142	0.0012962963	392.5082892871
57.0000000000	0.1059408142	0.0013194444	2351.3758507243
58.0000000000	0.0969408142	0.0013425926	10989.6277539839
59.0000000000	0.0979408142	0.0013657407	664.8489599936
60.0000000000	0.1069408142	0.0013888889	3074.9983279199
61.0000000000	0.1039408142	0.0014120370	267.7310486858
62.0000000000	0.1009408142	0.0014351852	43.0626858055
63.0000000000	0.1029408142	0.0014583333	51.0359215411
64.0000000000	0.1099408142	0.0014814815	32.5670968037
65.0000000000	0.1219408142	0.0015046296	5.1385669329
66.0000000000	0.1269408142	0.0015277778	30.4010058182
