times 	 signal 	 freqs 	 dft
0.0000000000	0.0715106659	0.0000000000	0.4837333526
1.0000000000	0.0895106659	0.0000231481	401.7362983294
2.0000000000	0.1175106659	0.0000462963	168.5544188644
3.0000000000	0.1585106659	0.0000694444	133.2935330467
4.0000000000	0.1815106659	0.0000925926	130.1940426206
5.0000000000	0.1855106659	0.0001157407	166.8098503375
6.0000000000	0.1685106659	0.0001388889	195.6707533083
7.0000000000	0.1385106659	0.0001620370	106.5872222529
8.0000000000	0.1085106659	0.0001851852	54.5039270078
9.0000000000	0.0965106659	0.0002083333	60.5475045051
10.0000000000	0.1015106659	0.0002314815	79.3080700339
11.0000000000	0.1265106659	0.0002546296	49.4817397818
12.0000000000	0.1475106659	0.0002777778	42.8907803439
13.0000000000	0.1605106659	0.0003009259	21.1114462984
14.0000000000	0.1625106659	0.0003240741	39.9710380184
15.0000000000	0.1495106659	0.0003472222	26.6466983217
16.0000000000	0.1255106659	0.0003703704	23.4230620303
17.0000000000	0.0995106659	0.0003935185	49.1281411588
18.0000000000	0.0765106659	0.0004166667	30.7663831590
19.0000000000	0.0685106659	0.0004398148	33.9220903410
20.0000000000	0.0755106659	0.0004629630	38.3735147614
21.0000000000	0.1025106659	0.0004861111	18.8773584263
22.0000000000	0.1255106659	0.0005092593	33.3529840328
23.0000000000	0.1455106659	0.0005324074	10.9528937504
24.0000000000	0.1685106659	0.0005555556	11.4837708236
25.0000000000	0.1815106659	0.0005787037	13.0270749455
26.0000000000	0.1815106659	0.0006018519	56.6037344607
27.0000000000	0.1655106659	0.0006250000	121.0752683391
28.0000000000	0.1385106659	0.0006481481	166.9225216288
29.0000000000	0.1155106659	0.0006712963	41.3609547236
30.0000000000	0.1105106659	0.0006944444	164.5895235544
31.0000000000	0.1335106659	0.0007175926	38.6296514746
32.0000000000	0.1575106659	0.0007407407	29.7460234273
33.0000000000	0.1735106659	0.0007638889	54.3117548690
34.0000000000	0.1805106659	0.0007870370	36.3645551144
35.0000000000	0.1785106659	0.0008101852	58.6982736712
36.0000000000	0.1725106659	0.0008333333	37.6887795196
37.0000000000	0.1625106659	0.0008564815	50.5592368155
38.0000000000	0.1345106659	0.0008796296	9.6182930192
39.0000000000	0.1065106659	0.0009027778	30.2138290581
40.0000000000	0.0815106659	0.0009259259	19.7982047671
41.0000000000	0.0725106659	0.0009490741	23.3147934525
42.0000000000	0.0795106659	0.0009722222	32.7540287644
43.0000000000	0.0985106659	0.0009953704	24.4685342141
44.0000000000	0.1185106659	0.0010185185	15.8294959178
45.0000000000	0.1375106659	0.0010416667	24.2437905242
