times 	 signal 	 freqs 	 dft
0.0000000000	0.0492253273	0.0000000000	0.2451397289
1.0000000000	0.0472253273	0.0000231481	1195.6967607587
2.0000000000	0.0612253273	0.0000462963	726.3722335718
3.0000000000	0.0772253273	0.0000694444	540.4575820216
4.0000000000	0.0962253273	0.0000925926	268.3525891200
5.0000000000	0.1042253273	0.0001157407	299.7291571146
6.0000000000	0.1032253273	0.0001388889	364.1360125519
7.0000000000	0.0882253273	0.0001620370	40.3520733009
8.0000000000	0.0732253273	0.0001851852	167.5360292761
9.0000000000	0.0522253273	0.0002083333	46.5625109575
10.0000000000	0.0442253273	0.0002314815	120.5949765753
11.0000000000	0.0472253273	0.0002546296	103.1709305500
12.0000000000	0.0652253273	0.0002777778	121.3057189495
13.0000000000	0.0872253273	0.0003009259	80.6870064091
14.0000000000	0.1062253273	0.0003240741	132.4649492612
15.0000000000	0.1182253273	0.0003472222	126.9731818381
16.0000000000	0.1162253273	0.0003703704	65.7183939189
17.0000000000	0.1012253273	0.0003935185	72.8451646423
18.0000000000	0.0812253273	0.0004166667	34.1270616642
19.0000000000	0.0542253273	0.0004398148	15.8865526170
20.0000000000	0.0412253273	0.0004629630	7.1984802709
21.0000000000	0.0462253273	0.0004861111	33.9531586737
22.0000000000	0.0652253273	0.0005092593	36.3323353648
23.0000000000	0.0902253273	0.0005324074	18.9234281159
24.0000000000	0.1182253273	0.0005555556	48.1220315329
25.0000000000	0.1302253273	0.0005787037	39.2664893121
26.0000000000	0.1232253273	0.0006018519	80.6547249563
27.0000000000	0.1062253273	0.0006250000	60.1167081356
28.0000000000	0.0862253273	0.0006481481	179.2023390946
29.0000000000	0.0702253273	0.0006712963	31.6535737138
30.0000000000	0.0632253273	0.0006944444	213.4208810935
31.0000000000	0.0682253273	0.0007175926	12.3402666522
32.0000000000	0.0812253273	0.0007407407	11.2105517363
33.0000000000	0.0982253273	0.0007638889	36.2817937885
34.0000000000	0.1122253273	0.0007870370	76.1253812545
35.0000000000	0.1182253273	0.0008101852	42.0313750819
36.0000000000	0.1132253273	0.0008333333	17.9993842101
37.0000000000	0.1042253273	0.0008564815	29.9970942399
38.0000000000	0.0892253273	0.0008796296	39.3280035297
39.0000000000	0.0762253273	0.0009027778	19.8729584750
40.0000000000	0.0742253273	0.0009259259	23.3388329949
41.0000000000	0.0842253273	0.0009490741	40.1264262553
42.0000000000	0.0932253273	0.0009722222	29.9182929375
43.0000000000	0.1042253273	0.0009953704	27.8174897734
44.0000000000	0.1102253273	0.0010185185	11.4979950743
45.0000000000	0.1092253273	0.0010416667	33.5562368301
46.0000000000	0.1052253273	0.0010648148	30.6119218443
47.0000000000	0.1042253273	0.0010879630	24.0450222810
48.0000000000	0.0992253273	0.0011111111	14.0232568410
49.0000000000	0.0962253273	0.0011342593	15.0199150909
50.0000000000	0.0942253273	0.0011574074	22.8068299346
51.0000000000	0.0952253273	0.0011805556	31.7783234096
52.0000000000	0.0962253273	0.0012037037	37.9489531551
53.0000000000	0.0992253273	0.0012268519	42.4427323610
54.0000000000	0.1012253273	0.0012500000	31.8480566532
55.0000000000	0.1042253273	0.0012731481	29.4539671765
56.0000000000	0.1072253273	0.0012962963	58.7428232593
57.0000000000	0.1072253273	0.0013194444	187.1172894981
58.0000000000	0.1062253273	0.0013425926	1599.2628321164
59.0000000000	0.1042253273	0.0013657407	59.6381145473
60.0000000000	0.0982253273	0.0013888889	1100.2885044260
61.0000000000	0.1042253273	0.0014120370	170.8579363852
62.0000000000	0.1142253273	0.0014351852	102.0276696361
