times 	 signal 	 freqs 	 dft
0.0000000000	-1.4260907489	0.0000000000	4326.9228542854
1.0000000000	-1.4620907489	0.0000231481	2932.7411362952
2.0000000000	-1.4940907489	0.0000462963	1838.2138959180
3.0000000000	-1.5260907489	0.0000694444	1088.5940662934
4.0000000000	-1.5580907489	0.0000925926	728.3451981854
5.0000000000	-1.5850907489	0.0001157407	226.9144911854
6.0000000000	-1.6150907489	0.0001388889	658.9034730326
7.0000000000	-1.6440907489	0.0001620370	458.2914632385
8.0000000000	-1.6730907489	0.0001851852	567.5908159269
9.0000000000	-1.6990907489	0.0002083333	710.0291938500
10.0000000000	-1.7280907489	0.0002314815	1035.8255607612
11.0000000000	-1.7570907489	0.0002546296	594.8790245672
12.0000000000	-1.7880907489	0.0002777778	533.4781973713
13.0000000000	-1.8200907489	0.0003009259	48.3006632821
14.0000000000	-1.8480907489	0.0003240741	587.0081971976
15.0000000000	-1.8770907489	0.0003472222	237.7180134661
16.0000000000	-1.9040907489	0.0003703704	197.0293671198
17.0000000000	-1.9300907489	0.0003935185	395.8001916811
18.0000000000	-1.9550907489	0.0004166667	376.4244154443
19.0000000000	-1.9800907489	0.0004398148	91.8092337260
20.0000000000	-2.0050907489	0.0004629630	546.2764174854
21.0000000000	-2.0300907489	0.0004861111	406.8503836109
22.0000000000	-2.0550907489	0.0005092593	256.4475042058
23.0000000000	-2.0780907489	0.0005324074	295.4808860037
24.0000000000	-2.1020907489	0.0005555556	423.8166321804
25.0000000000	-2.1240907489	0.0005787037	118.4503633923
26.0000000000	-2.1450907489	0.0006018519	290.8586867423
27.0000000000	-2.1680907489	0.0006250000	833.9773612104
28.0000000000	-2.1890907489	0.0006481481	1901.6312655139
29.0000000000	-2.2120907489	0.0006712963	162.2651209842
30.0000000000	-2.2360907489	0.0006944444	2674.3942389559
31.0000000000	-2.2580907489	0.0007175926	240.4108552161
32.0000000000	-2.2790907489	0.0007407407	72.0733460652
33.0000000000	-2.3000907489	0.0007638889	309.6435780324
34.0000000000	-2.3200907489	0.0007870370	93.6656883153
35.0000000000	-2.3400907489	0.0008101852	58.8358869915
36.0000000000	-2.3600907489	0.0008333333	122.1788827745
37.0000000000	-2.3780907489	0.0008564815	101.8146720524
38.0000000000	-2.3980907489	0.0008796296	173.7951639348
39.0000000000	-2.4140907489	0.0009027778	109.6211112191
40.0000000000	-2.4320907489	0.0009259259	115.4873414509
41.0000000000	-2.4520907489	0.0009490741	94.2565228145
42.0000000000	-2.4720907489	0.0009722222	229.0049438189
43.0000000000	-2.4930907489	0.0009953704	231.9132915231
