times 	 signal 	 freqs 	 dft
0.0000000000	1.1804814678	0.0000000000	2199.1840930319
1.0000000000	1.1744814678	0.0000231481	4194.0828832116
2.0000000000	1.1574814678	0.0000462963	1190.9362065146
3.0000000000	1.1664814678	0.0000694444	690.3292056723
4.0000000000	1.1804814678	0.0000925926	1524.8000347581
5.0000000000	1.1674814678	0.0001157407	1188.3733214626
6.0000000000	1.1624814678	0.0001388889	1573.7024082375
7.0000000000	1.1744814678	0.0001620370	650.6907965479
8.0000000000	1.1614814678	0.0001851852	131.1104344239
9.0000000000	1.1534814678	0.0002083333	315.2204593879
10.0000000000	1.1794814678	0.0002314815	553.3551866440
11.0000000000	1.1824814678	0.0002546296	376.0381780109
12.0000000000	1.1584814678	0.0002777778	481.0848602907
13.0000000000	1.1684814678	0.0003009259	639.1093755012
14.0000000000	1.1634814678	0.0003240741	376.8663440805
15.0000000000	1.1504814678	0.0003472222	318.0707338147
16.0000000000	1.1704814678	0.0003703704	285.9643977879
17.0000000000	1.1644814678	0.0003935185	169.3839007285
18.0000000000	1.1754814678	0.0004166667	114.6320075712
19.0000000000	1.1644814678	0.0004398148	135.1675960641
20.0000000000	1.1584814678	0.0004629630	165.1744486031
21.0000000000	1.1784814678	0.0004861111	39.1573205295
22.0000000000	1.1554814678	0.0005092593	205.0367550591
23.0000000000	1.1734814678	0.0005324074	366.2660265778
24.0000000000	1.1774814678	0.0005555556	412.2777527119
25.0000000000	1.1544814678	0.0005787037	278.6056784518
26.0000000000	1.1434814678	0.0006018519	377.7846860718
27.0000000000	1.1524814678	0.0006250000	2281.1792992658
28.0000000000	1.1644814678	0.0006481481	6261.8440443848
29.0000000000	1.1474814678	0.0006712963	523.5128031182
30.0000000000	1.1664814678	0.0006944444	12914.0950478440
31.0000000000	1.1714814678	0.0007175926	1353.4652370134
32.0000000000	1.1660528963	0.0007407407	492.3906308147
33.0000000000	1.1606243249	0.0007638889	584.6627043643
34.0000000000	1.1551957535	0.0007870370	180.5833284365
35.0000000000	1.1497671820	0.0008101852	229.0208623572
36.0000000000	1.1443386106	0.0008333333	129.1738080141
37.0000000000	1.1389100392	0.0008564815	212.2399751509
38.0000000000	1.1334814678	0.0008796296	256.4562372916
39.0000000000	1.1444814678	0.0009027778	215.9773500683
40.0000000000	1.1514814678	0.0009259259	149.1583265833
41.0000000000	1.1444814678	0.0009490741	224.3774466409
42.0000000000	1.1404814678	0.0009722222	133.0570431277
43.0000000000	1.1404814678	0.0009953704	102.9925966415
44.0000000000	1.1404814678	0.0010185185	92.9632601703
45.0000000000	1.1434814678	0.0010416667	94.7761602296
46.0000000000	1.1334814678	0.0010648148	55.5998739331
47.0000000000	1.1274814678	0.0010879630	95.6595881723
48.0000000000	1.1154814678	0.0011111111	34.8217457906
49.0000000000	1.0964814678	0.0011342593	166.9129591200
50.0000000000	1.1054814678	0.0011574074	113.4010498411
51.0000000000	1.1054814678	0.0011805556	101.2212828532
52.0000000000	1.0994814678	0.0012037037	126.3766954424
53.0000000000	1.1094814678	0.0012268519	49.5215810295
54.0000000000	1.1034814678	0.0012500000	145.9240053411
55.0000000000	1.1004814678	0.0012731481	115.0141434377
56.0000000000	1.1064814678	0.0012962963	931.7343208182
57.0000000000	1.0974814678	0.0013194444	4945.1723405502
58.0000000000	1.0864814678	0.0013425926	23036.9070220153
59.0000000000	1.0774814678	0.0013657407	1362.4897906919
60.0000000000	1.0714814678	0.0013888889	7038.1761924278
61.0000000000	1.0634814678	0.0014120370	799.9494309880
62.0000000000	1.0714814678	0.0014351852	129.5371320122
63.0000000000	1.0624814678	0.0014583333	190.8129189974
64.0000000000	1.0564814678	0.0014814815	130.0027918718
65.0000000000	1.0694814678	0.0015046296	27.8101473621
66.0000000000	1.0604814678	0.0015277778	33.8810200024
67.0000000000	1.0594814678	0.0015509259	74.8693897819
68.0000000000	1.0694814678	0.0015740741	26.3798532830
69.0000000000	1.0514814678	0.0015972222	32.0767755268
70.0000000000	1.0594814678	0.0016203704	18.4091376470
71.0000000000	1.0364814678	0.0016435185	13.5244606207
72.0000000000	1.0224814678	0.0016666667	29.4952938864
73.0000000000	1.0114814678	0.0016898148	12.0981171307
74.0000000000	1.0194814678	0.0017129630	51.6026390564
75.0000000000	1.0174814678	0.0017361111	16.5276211526
76.0000000000	1.0084814678	0.0017592593	44.1328485082
77.0000000000	1.0024814678	0.0017824074	10.0845824097
78.0000000000	0.9794814678	0.0018055556	39.0807585735
79.0000000000	0.9884814678	0.0018287037	44.7199372511
80.0000000000	1.0104814678	0.0018518519	38.7532328385
81.0000000000	0.9994814678	0.0018750000	36.5468601320
82.0000000000	0.9764814678	0.0018981481	59.7507708022
83.0000000000	0.9524814678	0.0019212963	100.2915715346
84.0000000000	0.9504814678	0.0019444444	172.1348909634
85.0000000000	0.9674814678	0.0019675926	153.4047295527
86.0000000000	0.9621957535	0.0019907407	195.6251345603
87.0000000000	0.9569100392	0.0020138889	255.6396696872
88.0000000000	0.9516243249	0.0020370370	222.5791348361
89.0000000000	0.9463386106	0.0020601852	207.0512209986
90.0000000000	0.9410528963	0.0020833333	98.7517024779
91.0000000000	0.9357671820	0.0021064815	121.3773190338
92.0000000000	0.9304814678	0.0021296296	103.3524276572
93.0000000000	0.9064814678	0.0021527778	64.0585092494
94.0000000000	0.8964814678	0.0021759259	56.6532855026
95.0000000000	0.8954814678	0.0021990741	38.1341098258
96.0000000000	0.8884814678	0.0022222222	45.2898767823
97.0000000000	0.8904814678	0.0022453704	39.9630992046
98.0000000000	0.8844814678	0.0022685185	8.7129129607
99.0000000000	0.8714814678	0.0022916667	38.1532460484
100.0000000000	0.8644814678	0.0023148148	31.7765513663
101.0000000000	0.8604814678	0.0023379630	14.3142924371
102.0000000000	0.8594814678	0.0023611111	15.0518894367
103.0000000000	0.8464814678	0.0023842593	10.6455735280
104.0000000000	0.8304814678	0.0024074074	17.7834743287
105.0000000000	0.8254814678	0.0024305556	17.5091240057
