t(min)	Pozzo	PZ1	PZ2	PZ3	PZ4	PZ5
0	0	0	0	0	0	0
1	0.0399999999999991	0	0	0	0	0
2	1.6	0.0299999999999994	0.0500000000000007	0.00999999999999979	0	0
3	3.22	0.0600000000000005	0.0899999999999999	0.0299999999999994	0	0
4	4.22	0.109999999999999	0.120000000000001	0.0499999999999989	0.00999999999999979	0.00999999999999979
5	4.34	0.15	0.130000000000001	0.0600000000000005	0.00999999999999979	0.0199999999999996
10	4.94	0.210000000000001	0.15	0.0800000000000001	0.0400000000000009	0.0300000000000011
20	5.04	0.23	0.17	0.0899999999999999	0.0600000000000005	0.0400000000000009
30	5.1	0.23	0.17	0.0999999999999996	0.0700000000000003	0.0500000000000007
40	5.16	0.24	0.18	0.0999999999999996	0.0700000000000003	0.0600000000000005
50	5.18	0.24	0.190000000000001	0.0999999999999996	0.0700000000000003	0.0700000000000003
60	5.28	0.24	0.190000000000001	0.109999999999999	0.0800000000000001	0.0700000000000003
90	5.26	0.25	0.190000000000001	0.109999999999999	0.0899999999999999	0.0800000000000001
120	5.32	0.25	0.200000000000001	0.119999999999999	0.0899999999999999	0.0800000000000001
150	5.38	0.26	0.200000000000001	0.119999999999999	0.0899999999999999	0.0899999999999999
180	5.4	0.26	0.210000000000001	0.119999999999999	0.0899999999999999	0.0800000000000001
210	5.42	0.26	0.210000000000001	0.119999999999999	0.100000000000001	0.130000000000001
240	5.44	0.26	0.210000000000001	0.129999999999999	0.100000000000001	0.130000000000001
300	5.46	0.26	0.210000000000001	0.119999999999999	0.100000000000001	0.140000000000001
360	5.52	0.26	0.210000000000001	0.129999999999999	0.100000000000001	0.110000000000001
430	5.54	0.27	0.220000000000001	0.129999999999999	0.100000000000001	0.110000000000001
610	5.58	0.279999999999999	0.23	0.139999999999999	0.100000000000001	0.110000000000001
1210	5.7	0.27	0.24	0.139999999999999	0.100000000000001	0.110000000000001
2442	5.7	0.290000000000001	0.25	0.15	0.110000000000001	0.15
3042	5.68	0.290000000000001	0.26	0.139999999999999	0.120000000000001	0.140000000000001
3642	5.72	0.300000000000001	0.26	0.17	0.100000000000001	0.18
4337	5.72	0.300000000000001	0.270000000000001	0.17	0.120000000000001	0.16


